review_id,date,platform,rating,review_text,country
1,2024-01-15,iOS,5,Love the AI features on the glasses,US
2,2024-01-16,Android,2,Battery dies too fast during translation,UK
3,2024-01-17,iOS,4,Voice commands work great most of the time,US
4,2024-01-18,Android,1,App crashes when I use live translation,DE
5,2024-01-19,iOS,3,Translation is okay but slow on long sentences,FR
6,2024-01-20,Android,5,Best smart glasses app I have used,US
7,2024-01-21,iOS,2,AI responses are sometimes wrong,UK
8,2024-01-22,Android,4,Scene description feature is impressive,US
9,2024-01-23,iOS,1,Cannot connect to glasses half the time,DE
10,2024-01-24,Android,5,Live translation saved me on my trip to Japan,FR
11,2024-01-25,iOS,3,Good app but needs better export options,US
12,2024-01-26,Android,2,Too many bugs in the latest update,UK
13,2024-01-27,iOS,5,The voice AI understands me perfectly,US
14,2024-01-28,Android,4,Solid performance overall minor UI issues,DE
15,2024-01-29,iOS,1,Keeps losing my settings after updates,FR
